,,,#REF!,,رافعة رمل,,,صحية,,,كهرباء,,,عدة,
1, ماكينة البلوك تركيا مرت عمي,," $23,200.0 ",,مخرطة مع يطقات ثاني مرة, $30.0 ,,حديد مع بواري غطاء للجورة, $30.0 ,,لمبات عدد 4 للغرف, $24.0 ,,كريك قظمة, $55.0 
2, ماكينة البلوك تركيا شاكر,," $9,000.0 ",,مخرطة الموتور تاني مرة, $35.0 ,,قساطل باطون للنهر, $70.0 ,,بروجكتورات مع حساس ضوء عدد ٢, $33.0 ,,شوادر عدد 4 ابو محمود , $120.0 
3, مولد الكهرباء60 KVA,," $6,700.0 ",,مخرطة بكرات, $25.0 ,,غطاسة, $100.0 ,,كبل للكبسة 2*1.5 مع كبسة غطاسة, $25.0 ,,قفل, $7.5 
4,ابو عرب,, $300.0 ,,موتور رافعة, $350.0 ,,نبريش زراعي مع اكسسوارات زراعي , $93.0 ,,كاميرا  imou, $85.0 ,,مكتب مع خشب رفوف, $100.0 
5,اجار ارض3شهور6+7+8,, $950.0 ,,مسكة رافعة, $7.0 ,,كبل كهرباء للغطاسة 3*2.5, $125.0 ,,مقياس سوائل للمازوت , $35.0 ,,تنر +دهان +مفصلات, $10.0 
6,حديد هنكار مع براغي و نقل ,12x5," $1,200.0 ",,كبل كهرباء رافعة 4*1.5, $40.0 ,,اجرة معلم الصحية, $55.0 ,,حماية 3 فاز  للمولد مع كونتكتور 80 امبير, $185.0 ,,فاتورة عدة, $42.0 
7,تصليح طرنبة المازوت للمولد,, $550.0 ,,رافعة اول مرة, $300.0 ,,قساطل صحية مع حنفيات للغرفة والجورة, $90.0 ,,POW CT  3, $105.0 ,,براغي5سم, $1.0 
8,كرفانة مكتب ,1," $1,100.0 ",,ميل مع قسطل 30 سم, $22.0 ,,سكر مع وصلات, $10.0 ,,كبل كهرباء للماكينة, $330.0 ,,مفاتيح رنش ع2+شحم +حبسات, $20.0 
9,غرفة ناطور,1," $1,360.0 ",,يطقات اول مرة, $12.0 ,,عدة صحية وقساطل زراعية, $105.0 ,,مكنة انترنت, $100.0 ,,زوايا حديد 6م وصلات , $9.0 
10,اجار شهر 9,, $275.0 ,,براغي, $6.0 ,,,,,كبل 7*1.5, $27.0 ,,مفتاح25, $5.0 
