Arabic Item,English Item,Category,Date,Quantity,Unit,Price / Amount,Notes
شيولتر,Shawlter,Material,,5,Kg,570,
رمل,Sand,Material,,30,Kg,765,
زجل,Zagel,Material,,60,Kg,430,
رمل,Sand,Material,,7,,435,
رمل,Sand,Material,,30,,375,
شيولتر,Shawlter,Material,,30,,500,
رمل,Sand,Material,,30,Kg,375,
رمل,Sand,Material,,6,,30,
حرس عدد 13,Guards Count 13,Service/Labor,,10,,57,
اسمنت,Cement,Material,,100,Q,550,
رمل,Sand,Material,,40,M,40,
اسمنت,Cement,Material,,10,Q,60,
فرشة,Mattress,Supplies,1905-07-05,,,20,
مازوت,Diesel,Fuel,1905-07-26,,,35,
فلاتر مازوت 18,Diesel Filters 18,Parts/Supplies,1905-09-07,,,35,
حديد صيا,Steel Bars,Material,1905-09-02,,,2,
تصليح لبس,Clothes Repair,Service,1905-07-29,,,32,
زيت هيدروليا 22,Hydraulic Oil 22,Oil/Supplies,1905-07-30,,,9,
تعبئة غاز 23,Gas Refill 23,Gas/Utility,1905-07-30,,,2,
دينامو 24,Dynamo 24,Parts,1905-07-31,,,4,
مازوت للمولد 25,Diesel for Generator 25,Fuel,1905-07-09,,,224,
مازوت للمولد 26,Diesel for Generator 26,Fuel,1905-07-09,,,58,
زيت مازوت 27,Diesel Oil 27,Oil/Supplies,1905-07-09,,,10,
مسمية,Named/Screw,Supplies,1905-08-03,3,M,234,
شاحن,Charger,Equipment,1905-06-28,,,1576000,From Shaker
رمل,Sand,Material,1905-06-28,,,800000,From Shaker
اجار,Rent,Rent,1905-06-22,,,75000,
شيول,Shovel,Equipment,1905-08-02,,,9500,
اي عربي,Any Arab,Expense,1905-07-15,,,190000,
رمل,Sand,Material,1905-07-17,,,20000,
اجار معمل,Factory Rent,Rent,1905-07-13,,,70000,
اجار سيارة,Car Rent,Rent,1905-07-13,,,10000,
ايجار معمل,Factory Rent,Rent,1905-07-19,,,100000,
اجار,Rent,Rent,1905-07-22,,,300000,
اجار,Rent,Rent,1905-07-23,,,500000,
ابوعزت,Abu Ezzat,Name/Person,1905-07-23,,,375000,
ايجار,Rent,Rent,1905-07-23,,,225000,
احمد,Ahmed,Name/Person,1905-07-23,,,150000,
اجار,Rent,Rent,1905-07-23,,,300000,
ايجار,Rent,Rent,1905-07-29,,,200000,
ايجار,Rent,Rent,1905-07-31,,,150000,
ابوعزت,Abu Ezzat,Name/Person,1905-07-31,,,250000,
رامي,Rami,Name/Person,1905-07-31,,,200000,
رامي,Rami,Name/Person,1905-08-02,,,200000,
محمد,Mohamed,Name/Person,1905-08-02,,,250000,
علي,Ali,Name/Person,1905-08-02,,,250000,
ماء + حليب,Water + Milk,Food,1905-07-09,,,,24.00,
فطور,Breakfast,Food,1905-07-09,,,,33.00,
اي كولا,Any Cola,Food,1905-07-09,,,,25.00,
ماء,Water,Food,1905-07-10,,,,85.00,
عصير,Juice,Food,1905-07-10,,,,35.00,
فطور,Breakfast,Food,1905-07-11,,,,185.00,
غاز,Gas,Utility,1905-07-12,,,,85.00,
اكياس كرباء,Electric Bags,Supplies,1905-07-12,,,,330.00,
رطل فطور,Breakfast Pound,Food,1905-07-13,,,,100.00,
كابتشينو,Cappuccino,Food,1905-07-14,,,,27.00,
خبز وبي,Bread and B,Food,1905-07-15,,,,10.00,
سكر وشاي,Sugar and Tea,Food,1905-07-17,,,,350.00,
فواكه,Fruits,Food,1905-07-19,,,,500.00,
دواء وبي,Medicine and B,Expense,1905-07-20,,,,80.00,
شراء,Purchase,Expense,1905-07-20,,,,200.00,
اكل,Food,Food,1905-07-21,,,,7000,
اي حبة,Any Pill,Expense,1905-07-22,,,,22000,
ايجار,Rent,Rent,1905-07-22,,,,44000,
فطور,Breakfast,Food,1905-07-28,,,,15000,
فطور,Breakfast,Food,1905-07-29,,,,36000,
فطور,Breakfast,Food,1905-07-30,,,,21000,
فطور,Breakfast,Food,1905-07-31,,,,28000,
فطور,Breakfast,Food,1905-08-02,,,,19000,
فطور,Breakfast,Food,1905-08-03,,,,48000,
